category,date,description,name,picture,price
Kühlung & Tiefkühlkost,2022-03-21,"Je 150g-BecherVersch. Sorten:
	","
                        GUT bio Bio-Fruchtjoghurt 150 g
                    ",https://s7g10.scene7.com/is/image/aldi/202109280003,"
				€ 0,39
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 250-g-PackungFrischfleisch,"
                        FAIR & GUT Schweine-Nackensteaks 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202107290457,"
				
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 340-g-Packung10% FettUngekühlt haltbar, ideal auch als Vorrat","
                        MILSANI Kondensmilch 340 g
                    ",https://s7g10.scene7.com/is/image/aldi/202107280182,"
				€ 0,69
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 250-g-PackungFrischfleisch,"
                        FAIR & GUT Schweine-Schnitzel 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202107290455,"
				
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 250-g-PackungFrischfleisch,"
                        FAIR & GUT Schweine-Steaks 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202107290456,"
				
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 185-g-PackungVersch. Sorten:
	","
                        Snack Time Sandwiches 185 g
                    ",https://s7g10.scene7.com/is/image/aldi/202106080024,"
				€ 1,49
			"
Kühlung & Tiefkühlkost,2022-03-21,,"
                        ROI DE TREFLE Französischer Schnittkäse 200g
                    ",https://s7g10.scene7.com/is/image/aldi/202103290933,"
				€ 2,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 175-g-Packung,"
                        MEINE KÄSETHEKE Dänischer Schnittkäse 175 g
                    ",https://s7g10.scene7.com/is/image/aldi/202109210076,"
				€ 1,69
			"
Getränke,2022-03-21,"Je 0,7-l-FlascheKöstliche Likörspezialität aus ItalienUnwiderstehliches Mandel-AromaWunderbar geeignet für Cocktails und Kaffeemischgetränke21,5 % vol.Ab 18 JahrenHerkunft: Italien","
                        RAVINI Amaretto 0,7 l
                    ",https://s7g10.scene7.com/is/image/aldi/202008210020-1,"
				€ 4,29
			"
Getränke,2022-03-21,"Je 0,7-l-FlascheAnis-SpezialitätNach traditioneller RezepturAus GriechenlandGekühlt oder mit Eis besonders zu empfehlenAls Aperitif oder Digestif genießen37,5 % vol.","
                        LYTTOS Ouzo 0,7 l
                    ",https://s7g10.scene7.com/is/image/aldi/202008210026-1,"
				€ 5,99
			"
Getränke,2022-03-21,"Die Trendrebsorte Primitivo – zu Deutsch die „früh reifende“ Rebsorte – findet in Apulien, am Absatz des italienischen Stiefels, ideale Anbaubedingungen vor.Dieser halbtrockene und vollmundige Rotwein wurde nach einem traditionellen Verfahren doppelt mit Beerenschalen von getrockneten Trauben vergoren.Er verzaubert mit seinem samtigen und weichen Geschmack.Weinstil: Rotwein stillTrinktemperatur: 16 – 18 °CGeschmack: halbtrockenAnbaugebiet: Apulien","
                        Doppio Tratto Primitivo Puglia 0,75l IGT
                    ",https://s7g10.scene7.com/is/image/aldi/202112100317,"
				€ 3,79
			"
Getränke,2022-03-21,Genuss vom Rande des Gardasees.Der trockene Weißwein aus Italien versetzt Sie in Urlaubsstimmung.Feine Zitrusfrucht und gelbe Früchte bringen italienische Lebensfreude ins Glas.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: Garda,"
                        MARIO COLLINA Chardonnay Garda DOC 0,75l
                    ",https://s7g10.scene7.com/is/image/aldi/202008210061,"
				€ 1,99
			"
Getränke,2022-03-21,"Ein trockener Rotwein aus Italien.Die Rebsorte Merlot ist bekannt und beliebt für ihre Aromenvielfalt.So überzeugt dieser Wein mit Aromen von Kirsche, dunklen Beeren, Pflaumen und einer feinen Kräuterwürze.Weinstil: Rotwein stillTrinktemperatur: 16 – 18 °CGeschmack: trockenAnbaugebiet: ","
                        Merlot Vino d'Italia 0,75l
                    ",https://s7g10.scene7.com/is/image/aldi/202105180016,"
				€ 1,79
			"
Getränke,2022-03-21,"Je 0,75-l-Flasche","
                        Primitivo Puglia IGT 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202112020076,"
				€ 2,49
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 400-g-Packung,"
                        ASIA GREEN GARDEN Teriyaki Frühlingsrollen 400 g
                    ",https://s7g10.scene7.com/is/image/aldi/202201190196,"
				€ 1,79
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheTrocken","
                        Bio-Cuvée rot Rheinhessen/Pfalz QbA 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202107260029,"
				€ 2,79
			"
Getränke,2022-03-21,"Suchen Sie einen exquisiten Begleiter für besondere Anlässe? Mögen sie den Duft von Himbeeren und Erdbeeren, zart rosé schimmernd im Glas?Hergestellt nach der aufwendigen Methode traditionelle Flaschengärung steht dieser Crémant aus Bordeaux für prickelnde Eleganz.Verwöhnen Sie sich und Ihre Gäste mit dieser Spezialität!Weinstil: SchaumweinTrinktemperatur: 6 – 8 °CGeschmack: brutAnbaugebiet: Bordeaux","
                        Crémant De Bordeaux Rosé Brut 0,75l
                    ",https://s7g10.scene7.com/is/image/aldi/202104130460,"
				€ 5,99
			"
Getränke,2022-03-21,Ökologisch und veganFruchtbetonter Geschmack und ausdrucksstarker KörperWeinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: Rheinhessen oder PfalzHerkunft: Deutschland,"
                        Bio-Cuvée weiß QbA Rheinhessen/Pfalz 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202008210031-1,"
				€ 2,79
			"
Getränke,2022-03-21,Je 75-l-Flasche,"
                        FRESCOBALDI 1300 Toscana IGT 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202112020073,"
				€ 4,99
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheAus SaftkonzentratTrüb55 % Fruchtgehalt","
                        GUT BIO Bio-Schorle 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202202250639,"
				€ 0,89
			"
Getränke,2022-03-21,"Sekt feinster KompositionTrocken und rassig mit angenehm spritzigem BouquetAus der traditionsreichen Rotkäppchen-Kellerei (seit 1856) in FreyburgHervorragend geeignet auch für Bowlen und Cocktails0,75-l-Flasche","
                        Rotkäppchen Sekt Trocken 0,75l
                    ",https://s7g10.scene7.com/is/image/aldi/202108190002,"
				€ 3,99
			"
Getränke,2022-03-21,"Je 0,75-l-Flasche87 Punkte im falstaff Tasting 2021","
                        RAIMUND PRÜM Riesling QbA 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202112020063,"
				€ 3,99
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheRotweinKlare Noten von Kirsche und BrombeerePasst besonders gut zu Reisgerichten, Braten oder Desserts","
                        Dornfelder lieblich Rhh/Pfalz QbA 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202104210016,"
				€ 1,89
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 250-g-PackungVersch. Sorten:
	","
                        WONNEMEYER Feinkostsalat 250 g 
                    ",https://s7g10.scene7.com/is/image/aldi/202203110762,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 300-g-PackungNUTRI-SCORE: A,"
                        ALL SEASONS Buttergemüse 300 g
                    ",https://s7g10.scene7.com/is/image/aldi/202201170139,"
				€ 0,59
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 250-g-PackungVersch. Sorten:
	","
                        ROI DE TREFLE® Französischer Camembert 250 g 
                    ",https://s7g10.scene7.com/is/image/aldi/202203110769,"
				€ 1,79
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 240-g-Packung,"
                        ROI DE TREFLE® Französischer Camembert 240 g
                    ",https://s7g10.scene7.com/is/image/aldi/202203110761,"
				€ 1,79
			"
Kühlung & Tiefkühlkost,2022-03-21,"Versch. Gewichte, z. B. 4 kgHKL A","
                        JACK'S FARM Hafermastgans 4 kg
                    ",https://s7g10.scene7.com/is/image/aldi/202111190914,"
				€ 17,00
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 125-g-PackungVersch. Sorten:
	","
                        UNSER FRANKEN Fränkischer Aufschnitt 125 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202160130-1,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 200-g-PackungVersch. Sorten:
	","
                        WONNEMEYER Feinkostsalat 200 g
                    ",https://s7g10.scene7.com/is/image/aldi/202203110759,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 350-g-PackungMild geräuchert,"
                        UNSER FRANKEN Nürnberger Stadtwurst 350 g
                    ",https://s7g10.scene7.com/is/image/aldi/202108170077,"
				€ 2,99
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 500-g-FlascheMILSANI: Die große Milch-Vielfalt für jeden Geschmack findest du täglich in unserem Sortiment. Ob Milch, Joghurt, Quark oder Schlagsahne: MILSANI hat, was dein Herz begehrtVersch. Sorten:
	","
                        MILSANI Trinkjoghurt 500 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202150325-1,"
				€ 0,69
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 100-g-Packung,"
                        UNSER FRANKEN Fränkischer Aufschnitt 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202160129-1,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,"750-g-PackungFeines Schweinefleisch mit einer würzigen Panade ummanteltEinzeln entnehmbarVorgebraten und schnell servierfertigFür Pfanne, Fritteuse und BackofenTiefgekühlt","
                        Jack's Farm Wiener Schnitzel 750 g
                    ",https://s7g10.scene7.com/is/image/aldi/202009080458,"
				€ 4,29
			"
Kühlung & Tiefkühlkost,2022-03-21,"Aus magerem SchweinefleischMit Kochschinken und Gouda gefülltEinzeln entnehmbarKnusprig vorgebraten und schnell servierfertigFür Pfanne, Fritteuse und Backofen4 bis 5 StückTiefgekühlt","
                        Jack's Farm Cordon Bleu 670 g
                    ",https://s7g10.scene7.com/is/image/aldi/202009080464,"
				€ 4,29
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 150-g-BecherVerschiedene Sorten:
	","
                        MILSANI Alpighurt 150 g
                    ",https://s7g10.scene7.com/is/image/aldi/202110060034,"
				€ 0,25
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 150-g-PackungVersch. Sorten:
	","
                        WONNEMEYER Antipasti-Creme 150 g
                    ",https://s7g10.scene7.com/is/image/aldi/202202080047,"
				€ 1,29
			"
Kühlung & Tiefkühlkost,2022-03-21,316-ml-PackungTeilentrahmt und wärmebehandelt4 % FettIdeal zum Genuss im Kaffee,"
                        Be Light Kondensmilch 4% Fett 316 ml
                    ",https://s7g10.scene7.com/is/image/aldi/202008210594,"
				€ 0,53
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 500-g-Becher,"
                        GUT bio Bio-Skyr 500 g
                    ",https://s7g10.scene7.com/is/image/aldi/202107120008,"
				€ 1,19
			"
