description,name,price
"Je 30-g-PackungNahrungsergänzungsmittel mit Magnesium und Vitamin EMit Süßungsmittel20 SticksVITALIS: unsere Marke für die effektive Hausapotheke, z. B. zur Prophylaxe oder zur ersten Behandlung von kleinen Blessuren. Ideal für unterwegs und auf Reisen","
                        VITALIS® Magnesium-Sticks 30 g
                    ","
				€ 0,99
			"
"Je 50-ml-FlascheHandhygiene ohne WasserBiozidprodukte vorsichtig verwenden, vor Gebrauch stets Kennzeichnung und Produktinformationen lesen.","
                        OMBIA MED Desinfektionshandgel 50 ml
                    ","
				€ 0,85
			"
"Je 300-ml-FlascheVersch. Sorten:
	","
                        OMBIA MED Körperlotion Urea 300 ml
                    ","
				€ 3,99
			"
Je SetFür Damen,"
                        OMBIA Rasiersystem
                    ","
				€ 4,49
			"
"Je 10 trinkfertige Ampullen à 8 ml = 80-ml-PackungNahrungsergänzungsmittel mit Vitamin B12Vitamin B12 trägt zu einem normalen Energiestoffwechsel, einer normalen Funktion des Nervensystems sowie zur Verringerung von Müdigkeit und Ermüdung beiVITALIS: unsere Marke für die effektive Hausapotheke, z. B. zur Prophylaxe oder zur ersten Behandlung von kleinen Blessuren. Ideal für unterwegs und auf ReisenVersch. Sorten:
	","
                        VITALIS® Vitamin B12 Vital Kur 80 ml
                    ","
				€ 4,75
			"
Je 390-g-Packung,"
                        MEINE KUCHENWELT Mini-Kuchensnack 390 g
                    ","
				€ 1,59
			"
"Je 47-g-PackungNahrungsergänzungsmittelPlus Zink, Selen und Vitamin D3VITALIS: unsere Marke für die effektive Hausapotheke, z. B. zur Prophylaxe oder zur ersten Behandlung von kleinen Blessuren. Ideal für unterwegs und auf Reisen","
                        VITALIS® Vitamin-C-Depot-Kapseln 47 g
                    ","
				€ 2,99
			"
Je 500-g-Packung,"
                        KNUSPERONE Cornflakes 500 g
                    ","
				€ 0,99
			"
"Je 600-g-PackungMit Rainforest Alliance-zertifiziertem KakaoVersch. Sorten:
	","
                        MEINE KUCHENWELT Feine Kuchenstücke 600 g
                    ","
				€ 2,59
			"
Je 208-g-Packung8 Stück,"
                        MEINE KUCHENWELT Frischei-Waffeln 208 g
                    ","
				€ 0,89
			"
Je 250-g-PackungMit Vanillecreme-Füllung,"
                        MEINE KUCHENWELT Mini-Windbeutel 250 g
                    ","
				€ 0,99
			"
Je 360-g-Packung,"
                        MEINE KUCHENWELT Muffins 360 g
                    ","
				€ 1,49
			"
"Je 4 x 100 g = 400-g-PackungVersch. Sorten:
	","
                        SWEET VALLEY Früchtchen, 4er-Pack 400 g
                    ","
				€ 1,29
			"
"Je 500-g-PackungVersch. Sorten:
	","
                        GUT BIO Bio-Spaghetti 500 g
                    ","
				€ 0,75
			"
Je 720-ml-GlasAbtropfgewicht 350 g,"
                        SWEET VALLEY Sauerkirschen 720 ml
                    ","
				€ 1,49
			"
"Je 370-ml-GlasAbtropfgewicht 200 gGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner Filiale","
                        GOURMET FINEST CUISINE Kalamata Oliven 370 ml
                    ","
				€ 1,49
			"
"Je 1-kg-PackungVersch. Sorten:
	","
                        GUT bio Bio-Reis 1 kg
                    ","
				€ 2,19
			"
"Je 750-ml-FlascheAus ökologischer LandwirtschaftErste GüteklasseIn Bio-QualitätIdeal zum Kochen, Braten, Grillen und Anrichten von Salaten","
                        GUT BIO Bio-Natives Olivenöl Extra 750 ml
                    ","
				€ 4,79
			"
"Je 370-ml-GlasAbtropfgewicht 180 gGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner Filiale","
                        GOURMET FINEST CUISINE Kalamata Oliven 370 ml 
                    ","
				€ 1,49
			"
"Je 500-g-PackungVerschiedene Sorten:
	In Bio-QualitätFür viele leckere Pastagerichte","
                        GUT bio Bio-Fusilli & Bio-Penne 500 g
                    ","
				€ 0,75
			"
Je 3 x 212-ml-Dose = 636-ml-Packung3 x 140 g = 420 g Abtropfgewicht,"
                        KING’S CROWN Mini-Pack Sonnenmais 636 ml
                    ","
				€ 1,39
			"
Je 500-g-Packung,"
                        LANDFREUDE Eierspätzle, Knöpfle oder Schupfnudeln 500 g
                    ","
				€ 0,99
			"
"Je 250-ml-FlascheLeicht nussig und harmonisch im GeschmackReich an Omega-3-FettsäurenIn Bio-QualitätNussiger GeschmackIdeal für Dressings, Marinaden und Dips sowie zum Verfeinern von kalten und warmen Speisen","
                        SCHNEEKOPPE Bio-Leinöl, nativ 250 ml
                    ","
				€ 1,65
			"
Je 165-g-Packung,"
                        MEIN VEGGIE TAG Veggie Snack & Dip 165 g
                    ","
				€ 1,99
			"
Je 360-g-Glas,"
                        GUT BIO Bio-Apfelmus 360 g
                    ","
				€ 0,99
			"
In Bio-QualitätHoch erhitzbarIdeal zum Braten und Backen250-ml-Glas,"
                        Schneekoppe Kokosöl nativ, kaltgepresst 250 ml
                    ","
				€ 2,59
			"
Fein gemahlenSehr aromatischFür das Würzen und Abschmecken herzhafter Speisen50-g-Glas,"
                        Le Gusto Weisser Pfeffer Gemahlen 50g
                    ","
				€ 0,59
			"
"Fein gemahlenAromatisch und scharfFür ein pikantes GulaschAuch lecker in Eintöpfen, Suppen und Marinaden50-g-Glas","
                        Le Gusto Scharfe Paprika Gemahlen 50g
                    ","
				€ 0,59
			"
Je 580-ml-DoseAbtropfgewicht 340 g,"
                        SWEET VALLEY Ananas in Stücken 340 g
                    ","
				€ 1,19
			"
Je 425-ml-DoseAbtropfgewicht 285 g,"
                        KING’S CROWN Sonnenmais 425 ml
                    ","
				€ 0,69
			"
"Feinster PfefferBewährtes Universalgewürz für Fleisch, Gemüse, Suppen und SoßenScharf und würzig50-g-Glas","
                        Le Gusto Schwarzer Pfeffer Gemahlen 50g
                    ","
				€ 0,59
			"
"Würzig und aromatischMilder GeschmackBringt Pfiff in verschiedene Fleischgerichte, Suppen und EintöpfenIdeal geeignet für die Zubereitung von Paprikaquark50-g-Glas","
                        Le Gusto Edelsüsse Paprika Gemahlen 50g
                    ","
				€ 0,59
			"
Würziges Curry als feines Pulver für viele asiatische GerichteAuch ideal für die Verfeinerung von Curry-Wurst45-g-Glas,"
                        Le Gusto Curry Pulver 45g
                    ","
				€ 0,59
			"
Je 230-g-Packung,"
                        MEIN VEGGIE TAG The Wonder Hack 230 g
                    ","
				€ 2,49
			"
Je 175-g-Packung,"
                        MEIN VEGGIE TAG Bio Vegane Vielfalt 175 g
                    ","
				€ 1,99
			"
Je 750-g-Becher,"
                        WONNEMEYER Original Schwäbischer Kartoffelsalat 750 g
                    ","
				€ 1,99
			"
Je 400-g-Packung,"
                        MEIN VEGGIE TAG Bio-Tofu 400 g
                    ","
				€ 1,79
			"
Je 500-g-Packung,"
                        Tress Original Hausmacher Nudeln 500 g
                    ","
				€ 2,49
			"
Je 410-g-Glas150 g AbtropfgewichtNUTRI-SCORE: A,"
                        SWEET VALLEY Beeren-Trio 150 g
                    ","
				€ 1,29
			"
Je 100-g-PackungNUTRI-SCORE: A,"
                        ALL SEASONS Kräuter 100 g
                    ","
				€ 0,69
			"
Je 500-g-Packung,"
                        EINFACH REGIONAL Bayerische Dinkelnudeln 500 g
                    ","
				€ 1,19
			"
Je 240-g-Packung,"
                        MEIN VEGGIE TAG The Wonder Cevapcici 240 g
                    ","
				€ 2,49
			"
"Je 250-ml-FlascheVersch. Sorten: 
	","
                        Delikato Grillsauce 250 ml
                    ","
				€ 0,69
			"
"Je 320-PackungVersch. Sorten:
	","
                        GUT BIO Bio-Brötchen 320 g
                    ","
				€ 1,59
			"
Je 500-g-Packung,"
                        GOLDÄHREN Das Rustikale Saaten 500 g
                    ","
				€ 1,39
			"
Je StückNur in BACKWELT-Filialen erhältlich²,"
                        Sesamring
                    ","
				€ 0,49
			"
"Je 162-g-PackungJe 9 StückVersch. Sorten:
	","
                        MEINE KUCHENWELT Mini-Donuts 162 g
                    ","
				€ 1,69
			"
"Je 500-g-PackungVersch. Sorten:
	","
                        KNUSPERONE Premium Müsli 500 g
                    ","
				€ 1,99
			"
Je 375-g-Packung,"
                        GOLDÄHREN Kleiner Sandwich Toast mit Roggen 375 g
                    ","
				€ 0,79
			"
Geschnittenes Toastbrot aus VollkornmehlVollwertiger und bekömmlicher GenussMit Ballaststoffen500-g-Packung,"
                        Goldähren Vollkorntoast 500 g
                    ","
				€ 0,79
			"
Geschnittenes Toastbrot aus dem vollen KornAusgewogen und lecker im GeschmackGroße Scheiben im American Style750-g-Packung,"
                        Goldähren Vollkorn Sandwichtoast 750 g
                    ","
				€ 1,19
			"
Je StückAus dem Backofen,"
                        Pizza-Snack vegan
                    ","
				€ 0,79
			"
Je 280-g-GlasAbtropfgewicht 170 g,"
                        KING'S CROWN Champignons 170 g
                    ","
				€ 0,89
			"
Je 210-g-Glas,"
                        MAINTAL Bio-Konfitüre 210 g
                    ","
				€ 1,99
			"
"Sehr weich und cremigIdeal kombinierbar mit Zimt und Zucker, Schokolade, Roter Grütze oder auch mit diversen süßen FrüchtenFür die Zubereitung im Kochtopf500-g-Packung","
                        Bon-Ri Milchreis 500g
                    ","
				€ 0,68
			"
Je 360-g-Packung,"
                        LANDFREUDE Schwäbische Maultaschen 360 g
                    ","
				€ 1,29
			"
"Je 250-ml-FlascheVerschiedene Sorten:
	","
                        Wonnemeyer Salat Dressing 250 ml
                    ","
				€ 0,69
			"
Klassische Langkorn-Reis-Variante4-fach portioniert im KochbeutelEinfache Zubereitung im Wasserbad1 Beutel entspricht 2 Portionen (125 g Reise)Enthält 4 Beutel500-g-Packung,"
                        Bon-Ri Kochbeutel Reis 500g
                    ","
				€ 0,69
			"
Je 175-g-Packung,"
                        MEIN VEGGIE TAG Veggie Snack & Dip 175 g
                    ","
				€ 1,99
			"
Je 180-g-Packung,"
                        MEIN VEGGIE TAG Veggie Snack & Dip 180 g
                    ","
				€ 1,99
			"
Je 314-ml-Dose (Abtropfgewicht 175 g)Leicht gezuckert,"
                        SWEET VALLEY Mandarin-Orangen 175 g
                    ","
				€ 0,69
			"
"Für eine würzige Note in Soßen, Suppen und Dressings sowie MarinadenAuch zum Abschmecken von Ei-, Fleisch-, Nudel- und Kartoffelgerichten geeignet70-g-Glas","
                        Le Gusto Knoblauch Granuliert 70g
                    ","
				€ 0,49
			"
"Je 200-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigendVersch. Sorten:
	","
                        GUT BIO Bio-Knusperknäcke-Scheiben 200 g
                    ","
				€ 1,89
			"
Je Stück,"
                        Butter-Apfeltasche
                    ","
				€ 0,79
			"
Je Stück,"
                        Laugenzopf mit Käse
                    ","
				€ 0,49
			"
Je Stück,"
                        Vanillestange
                    ","
				€ 0,75
			"
Je Stück,"
                        Quarkbällchen
                    ","
				€ 0,25
			"
Je 340-g-Packung4 x 85 gExklusiv bei uns ,"
                        Goldähren Walnussbrötchen 340 g
                    ","
				€ 1,69
			"
"Je 400-g-PackungVersch. Sorten:
	","
                        GOURMET Ciabatta 400 g
                    ","
				€ 1,79
			"
Je StückMit steirischem KürbiskernölNur in BACKWELT-Filialen erhältlich²,"
                        Kürbiskern-Brötchen
                    ","
				€ 0,35
			"
"Je 500-g-PackungVersch. Sorten:
	","
                        GUT BIO Bio-Müsli Klassik 500 g
                    ","
				€ 2,69
			"
"Je 125-g-PackungGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner FilialeVersch. Sorten: 
	","
                        GOURMET FINEST CUISINE Sweet Moments 125 g
                    ","
				€ 1,79
			"
Je 144-g-Packung,"
                        GOURMET FINEST CUISINE Macarons 144 g
                    ","
				€ 3,49
			"
"Je 100-g-PackungGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner Filiale","
                        GOURMET FINEST CUISINE Sweet Moments 100 g
                    ","
				€ 1,79
			"
"Je 250-g-GlasGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner FilialeVersch. Sorten:
	","
                        GOURMET FINEST CUISINE Fruchtaufstrich 75 % 250 g
                    ","
				€ 0,99
			"
Je 410-g-Glas145 g AbtropfgewichtNUTRI-SCORE: A,"
                        SWEET VALLEY Beeren-Trio 145 g
                    ","
				€ 1,29
			"
"Je 120-g-PackungGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner Filiale","
                        GOURMET FINEST CUISINE Sweet Moments 120 g
                    ","
				€ 1,79
			"
Je 100-ml-FlascheRezeptur ohne Mikroplastik,"
                        OMBIA MEN Aftershave 100 ml
                    ","
				€ 2,35
			"
"Je 15-ml-SpenderFür alle HauttypenVersch. Sorten
	","
                        LACURA Augenpflege 15 ml
                    ","
				€ 2,25
			"
Je 50-ml-Flasche,"
                        ELDENA Handcreme/Konzentrat 50 ml
                    ","
				€ 1,99
			"
"Je 78-g-RöhrchenNahrungsergänzungsmittel mit Magnesium und VitaminenMit SüßungsmittelnVITALIS: unsere Marke für die effektive Hausapotheke, z. B. zur Prophylaxe oder zur ersten Behandlung von kleinen Blessuren. Ideal für unterwegs und auf Reisen","
                        VITALIS® Magnesium-Brausetabletten 78 g
                    ","
				€ 0,35
			"
Je 500-g-Packung,"
                        FAIR Brauner Rohrzucker 500 g
                    ","
				€ 1,49
			"
Je 1-kg-Packung,"
                        MEHL VON DAHEIM Weizenmehl 1 kg
                    ","
				€ 0,59
			"
